Objeto 3: 0.798046, 5.002818, 8.663494, 12.146784, -22.554558, 14.977920, -23.511127
Objeto 5: 0.798076, 5.196826, 6.910769, 11.444198, -20.991605, -14.380880, -20.665314
Objeto 7: -0.086954, -0.157887, 1.495550, 1.683300, 3.272734, 1.604540, -5.491106
Objeto 8: -0.120131, -0.228636, 1.256152, 1.351039, 2.654641, 1.236960, 4.885263
Objeto 9: 0.373823, 0.820174, 4.122326, 4.442214, 8.730459, 4.891286, 9.507672
Objeto 10: 0.371474, 0.823250, 3.120957, 3.355002, 6.592987, 3.766758, -8.874637
Objeto 11: -0.129544, -0.243706, 1.007167, 1.137369, 2.209643, 1.015635, 4.506461
Objeto 12: 0.798008, 4.865669, 7.608334, 11.645637, -21.578627, -15.527278, -21.333459
Objeto 13: 0.334708, 0.736686, 2.783044, 2.964711, 5.838590, 3.333054, 8.445769
Objeto 14: -0.106722, -0.196061, 1.056173, 1.199552, 2.327425, 1.101619, -4.485491
Objeto 15: -0.095881, -0.172621, 0.989909, 1.131711, 2.192552, 1.045884, 4.118053
Objeto 16: -0.032083, -0.045032, 1.341782, 1.483393, 2.895992, 1.461095, -5.034418
Objeto 17: 0.798052, 5.093256, 7.973040, 13.564593, -24.367372, -16.274964, 24.753044
Objeto 18: -0.107708, -0.200982, 1.372773, 1.526797, 2.976605, 1.426602, -4.962533
Objeto 19: 0.798084, 5.305538, 6.735452, 11.104804, 20.128557, 13.922816, -20.235333
Objeto 20: 0.340446, 0.748341, 2.873151, 3.057540, 6.022885, 3.431738, -9.067475
Objeto 21: -0.110840, -0.204674, 1.062914, 1.207052, 2.342035, 1.104721, 5.491081
Objeto 24: -0.058188, -0.095187, 1.470082, 1.703879, 3.290867, 1.656321, -5.512477
Objeto 25: 0.798063, 5.110585, 8.003787, 12.474961, -23.804039, 15.811154, -22.715776
Objeto 26: 0.369687, 0.816975, 3.278756, 3.500281, 6.890124, 3.911475, -8.302776
Objeto 27: -0.001174, 0.019307, 1.502419, 1.672259, 3.259598, 1.681913, 6.348493
Objeto 28: 0.362363, 0.792965, 3.996920, 4.223198, 8.333501, 4.621455, 9.808096
Objeto 29: 0.338675, 0.738061, 3.851425, 4.038966, 7.984441, 4.413302, -9.428809
